CMTE_ID,PAC_NAME,SPONSOR_NAME,TOTAL_TRANSACTIONS
C00077321,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION COMMITTEE,#N/A,10000.00
C00296640,REPUBLICAN MAJORITY FUND,0,10000.00
C00345132,REPUBLICAN JEWISH COALITION POLITICAL ACTION COMMITTEE (RJC-PAC),#N/A,10000.00
C00390674,FREEDOM FUND,Michael Crapo,10000.00
C00409003,HEARTLAND VALUES PAC,0,10000.00
C00413948,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),John Boozman,10000.00
C00442368,COMMON VALUES PAC,John Barrasso,10000.00
C00489336,WILD AND WONDERFUL PAC,Shelley Capito,10000.00
C00492058,LEADERSHIP AND ACCOUNTABILITY ARE NATIONAL KEYS PAC,#N/A,10000.00
C00495887,TOMORROW IS MEANINGFUL PAC,Timothy E. Scott,10000.00
C00542027,BIG SKY OPPORTUNITY PAC,0,10000.00
C00551853,OORAH! POLITICAL ACTION COMMITTEE,0,10000.00
C00571000,TRUE NORTH PAC,Dan Sullivan,10000.00
C00592089,ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS PAC,0,10000.00
C00632323,DEFEND OUR CONSERVATIVE SENATE PAC (DOC'S PAC),0,10000.00
C00654186,SOCK IT TO 'EM PAC,John Curtis,10000.00
C00678813,CONSERVATIVES HARVESTING SUCCESS PAC,Cindy Hyde-Smith,10000.00
C00692715,HELP ELECT REPUBLICANS NOW,0,10000.00
C00719971,SENATE EAGLE PAC,0,10000.00
C00762328,FIGHT ON PAC,Ashley Hinson Arenholz,10000.00
C00762682,STEER PAC,0,10000.00
C00821058,ALABAMA FIRST PAC,Katie Boyd Britt,10000.00
C00832501,AMERICAN EXCELLENCE PAC,Pete Ricketts,10000.00
C00834507,BUILDING UP DEMOCRACY'S DREAM,0,10000.00
C00845099,SEND IN THE SEAL PAC,#N/A,10000.00
C00851998,PENNSYLVANIA HONOR,Dave McCormick,10000.00
C00863373,BEST AT BRINGING ENTREPRENEURIAL RESULTS NEVER IMAGINED OR ENVISIONED PAC,Bernie Moreno,10000.00
C00896688,JOBS OPPORTUNITY NOW POLITICAL ACTION COMMITTEE,Jon Husted,10000.00
C00236489,"KOCH, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)",#N/A,7500.00
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,#N/A,7500.00
C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),#N/A,5000.00
C00007880,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",#N/A,5000.00
C00022343,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",#N/A,5000.00
C00028787,NATIONAL CATTLEMEN'S BEEF ASSOCIATION POLITICAL ACTION COMMITTEE (NCBA-PAC),#N/A,5000.00
C00035006,CHEVRON EMPLOYEES POLITICAL ACTION COMMITTEE - CHEVRON CORPORATION,#N/A,5000.00
C00035451,AIR LINE PILOTS ASSOCIATION PAC,#N/A,5000.00
C00040998,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00042002,REYNOLDS AMERICAN INC. POLITICAL ACTION COMMITTEE; RAI PAC,#N/A,5000.00
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,#N/A,5000.00
C00064766,"UNITED PARCEL SERVICE, INC. PAC (UPSPAC)",#N/A,5000.00
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",#N/A,5000.00
C00089136,"ALTRIA GROUP,  INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",#N/A,5000.00
C00104802,DELTA AIR LINES PAC,#N/A,5000.00
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,#N/A,5000.00
C00109306,NATIONAL ASSOCIATION OF WHOLESALER-DISTRIBUTORS POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00110338,AMERICAN CRYSTAL SUGAR COMPANY POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00112896,CONOCOPHILLIPS SPIRIT PAC,#N/A,5000.00
C00126763,NATIONAL ASSOCIATION OF CONVENIENCE STORES POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00147173,"WINE AND SPIRITS WHOLESALERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE",#N/A,5000.00
C00166348,SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00186064,"FEDERAL BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC",#N/A,5000.00
C00199711,HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00211318,DELOITTE POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00227744,ERNST & YOUNG POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00280222,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,#N/A,5000.00
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00304832,CONSTELLATION BRANDS INC POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00332296,SUSAN B. ANTHONY LIST. INC. CANDIDATE FUND (DBA SUSAN B. ANTHONY PRO-LIFE AMERICA CANDIDATE FUND),#N/A,5000.00
C00366468,"CORECIVIC, INC. POLITICAL ACTION COMMITTEE (CORECIVIC PAC)",#N/A,5000.00
C00376376,"THE TRAVELERS COMPANIES, INC. POLITICAL ACTION COMMITTEE (T-PAC)",#N/A,5000.00
C00379479,THE HAWKEYE PAC,0,5000.00
C00387464,ALAMO PAC,John Cornyn,5000.00
C00388827,ROCKET LIMITED PARTNERSHIP PAC (ROCKET PAC),#N/A,5000.00
C00412098,ASSOCIATION OF KENTUCKY FRIED CHICKEN FRANCHISEES INC PAC,#N/A,5000.00
C00430256,"MOLINA HEALTHCARE, INC. PAC",#N/A,5000.00
C00480863,"NATIONAL SHOOTING SPORTS FOUNDATION, INC. POLITICAL ACTION COMMITTEE (NSSF PAC)",#N/A,5000.00
C00493072,DAKOTA PAC,John Hoeven,5000.00
C00513549,PHILLIPS 66 PAC,#N/A,5000.00
C00525055,"TRANSCANADA USA SERVICES, INC. PAC (TC PAC)",#N/A,5000.00
C00540054,NEBRASKA SANDHILLS PAC,Debra S Fischer,5000.00
C00551184,"CONTINENTAL RESOURCES, INC. POLITICAL ACTION COMMITTEE",#N/A,5000.00
C00570226,SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC,#N/A,5000.00
C00571323,TOGETHER HOLDING OUR MAJORITY PAC,0,5000.00
C00692327,LETS GET TO WORK PAC,#N/A,5000.00
C00755454,"US ENERGY PAC (THE PAC OF AMERICAN EXPLORATION & PRODUCTION COUNCIL, INC.)",#N/A,5000.00
C00772434,PAC FOR AMERICA,#N/A,5000.00
C00783167,WORKING FOR OHIO,J Vance,5000.00
C00792127,FAIR ISAAC CORPORATION POLITICAL ACTION COMMITTEE (FICO PAC),#N/A,5000.00
C00832469,BUILDING A NATIONAL KNOWLEDGEABLE SECURITY PAC,0,5000.00
C00896092,FLORIDA LEADS,Ashley Moody,5000.00
C00347955,"LIFEPOINT HEALTH PAC - THE PAC OF LIFEPOINT CORPORATE SERVICES, GENERAL PARTNERSHIP (LCSGP) AND FACILITIES WHICH ARE SUBSIDIARIES OF LIFEPOINT HEALTH (COLLECTIVELY LIFEPOINT)",#N/A,3500.00
C00691915,PRAYERIE PAC,Kevin Cramer,3500.00
C00778159,COMMANDER ZINKE LEADERSHIP FUND,#N/A,3500.00
C00784868,TRUSTWORTHY REPUBLICANS ALWAYS SERVE HUMBLY PAC,Barry Moore,3500.00
C00041038,AVISTA EMPLOYEES FOR EFFECTIVE GOVERNMENT,#N/A,3000.00
C00170258,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES PAC,#N/A,3000.00
C00004812,MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC),#N/A,2500.00
C00015933,PINNACLE WEST CAPITAL CORPORATION PAC,#N/A,2500.00
C00016683,PFIZER INC. PAC,#N/A,2500.00
C00103903,"HDR, INC. EMPLOYEE OWNERS PAC",#N/A,2500.00
C00121368,EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC),#N/A,2500.00
C00149104,CHS INC. POLITICAL ACTION COMMITTEE,#N/A,2500.00
C00158881,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,#N/A,2500.00
C00283523,DALLAS ENTREPRENEUR POLITICAL ACTION COMMITTEE,#N/A,2500.00
C00299750,TDS TELECOMMUNICATIONS CORPORATION PAC,#N/A,2500.00
C00350744,"THE GOLDMAN SACHS GROUP, INC. POLITICAL ACTION COMMITTEE",#N/A,2500.00
C00364133,DUANE MORRIS GOVERNMENT COMMITTEE,#N/A,2500.00
C00428052,MAJORITY COMMITTEE PAC--MC PAC,0,2500.00
C00450916,ASURION LLC POLITICAL ACTION COMMITTEE (ASURION PAC),#N/A,2500.00
C00536573,ABBVIE POLITICAL ACTION COMMITTEE,#N/A,2500.00
C00686287,PLAINS ALL AMERICAN GP LLC PAC,#N/A,2500.00
C00763664,TRACTOR SUPPLY COMPANY POLITICAL ACTION COMMITTEE,#N/A,2500.00
C00004473,NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC,#N/A,2000.00
C00008474,CITIGROUP INC. PAC - FEDERAL (CITI PAC - FEDERAL),#N/A,2000.00
C00010470,UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT,#N/A,2000.00
C00083535,DUKE ENERGY CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE (DUKEPAC),#N/A,2000.00
C00164939,MINN-DAK FARMERS COOPERATIVE SUGAR PAC (MDSPAC),#N/A,2000.00
C00199703,GLAXOSMITHKLINE LLC PAC (GSK PAC),#N/A,2000.00
C00215384,ONEOK INC. EMPLOYEE POLITICAL ACTION COMMITTEE,#N/A,2000.00
C00219642,"ENTERPRISE HOLDINGS, INC. / ENTERPRISE MOBILITY POLITICAL ACTION COMMITTEE",#N/A,2000.00
C00394650,JBS USA FOOD COMPANY PAC,#N/A,2000.00
C00396895,GILEAD SCIENCES INC HEALTHCARE POLICY PAC,#N/A,2000.00
C00389403,"SPECIALTY EQUIPMENT MARKET ASSOCIATION & PERFORMANCE RACING, INC. PAC (SEMA & PRI PAC)",#N/A,1500.00
C00543207,BADLANDS PAC,0,1500.00
C00035204,ENERGY MARKETERS OF AMERICA SMALL BUSINESS COMMITTEE PAC (EMA SBC PAC),#N/A,1000.00
C00084491,INTERNATIONAL FRANCHISE ASSOCIATION FRANCHISING POLITICAL ACTION COMMITTEE INC,#N/A,1000.00
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,#N/A,1000.00
C00123612,TEXTRON INC. POLITICAL ACTION COMMITTEE,#N/A,1000.00
C00167684,AMERICAN SUGARBEET GROWERS ASSOCIATION PAC,#N/A,1000.00
C00287045,PLAIN STATE PAC,#N/A,1000.00
C00366013,"NASDAQ, INC. PAC (NASDAQ PAC)",#N/A,1000.00
C00497305,YOPAC,0,1000.00
