CMTE_ID,PAC_NAME,SPONSOR_NAME,TOTAL_TRANSACTIONS
C00028787,NATIONAL CATTLEMEN'S BEEF ASSOCIATION POLITICAL ACTION COMMITTEE (NCBA-PAC),#N/A,10000.00
C00404392,CONSERVATIVE OPPORTUNITY LEADERSHIP AND ENTERPRISE PAC,0,10000.00
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,#N/A,10000.00
C00467431,THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE,0,10000.00
C00542027,BIG SKY OPPORTUNITY PAC,0,10000.00
C00570226,SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC,#N/A,10000.00
C00639229,AMERICAN REVIVAL PAC,#N/A,10000.00
C00845099,SEND IN THE SEAL PAC,#N/A,10000.00
C00390161,EUREKA POLITICAL ACTION COMMITTEE,0,7500.00
C00769695,FREEDOM FORCE PAC,Maria Elvira Salazar,7000.00
C00749481,RAPTOR PAC,0,6000.00
C00010868,AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC/PAC),#N/A,5000.00
C00113811,NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00126763,NATIONAL ASSOCIATION OF CONVENIENCE STORES POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00149104,CHS INC. POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00165159,REPUBLICAN MAINSTREET PARTNERSHIP PAC,#N/A,5000.00
C00199711,HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00236489,"KOCH, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)",#N/A,5000.00
C00493221,THE GUARDIAN FUND,#N/A,5000.00
C00540146,FIRST IN FREEDOM PAC,0,5000.00
C00563726,MR. SOUTHERN MISSOURIAN IN THE HOUSE PAC,0,5000.00
C00592089,ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS PAC,0,5000.00
C00623512,IN THE ARENA PAC,0,5000.00
C00649525,RESTORING OUR NATION PAC,0,5000.00
C00693796,BUCKEYE LIBERTY POLITICAL ACTION COMMITTEE,0,5000.00
C00762930,BE VICTORIOUS OVER DEMOCRATS PAC,0,5000.00
C00764886,LASTING INVESTMENTS STRENGTHENING AMERICA PAC,Lisa McClain,5000.00
C00767640,RANGER PAC,#N/A,5000.00
C00818542,FIELD OF DREAMS PAC,#N/A,5000.00
C00483487,BRINGING REPUBLICAN EXCELLENCE TO TOWN PAC,S. Brett Guthrie,4500.00
C00689208,RVFPAC,0,4000.00
C00778159,COMMANDER ZINKE LEADERSHIP FUND,#N/A,4000.00
C00485540,LEADERSHIP FOR AMERICA TODAY TOMORROW AND ALWAYS PAC,#N/A,3000.00
C00822833,DEFENDING THE AMERICAN DREAM PAC,0,3000.00
C00898734,FLORIDA FIRST PAC,Jimmy Patronis,3000.00
C00923938,GRASSROOTS ORGANIZING FOR BETTER ELECTION RESULTS PAC,Chris Gober,3000.00
C00004473,NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC,#N/A,2500.00
C00009985,NATIONAL ASSOCIATION OF BROADCASTERS POLITICAL ACTION COMMITTEE (NABPAC),#N/A,2500.00
C00412098,ASSOCIATION OF KENTUCKY FRIED CHICKEN FRANCHISEES INC PAC,#N/A,2500.00
C00493361,RAZOR PAC,0,2500.00
C00524314,AMERICA'S FIRST PAC,#N/A,2500.00
C00607721,LAND OF OPPORTUNITY PAC,0,2500.00
C00631051,ABRAHAM LINCOLN PAC,Darin McKay LaHood,2500.00
